# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6ff90164440
# CUDA_DEVICE 0 GeForce GTX 460
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,fb_subp0_read_sectors,fb_subp0_write_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,fb_subp1_read_sectors,fb_subp1_write_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,inst_executed,l1_global_load_miss,l2_subp0_write_sector_queries,warps_launched,threads_launched,uncached_global_load_transaction,l2_subp1_write_sector_queries,active_warps,global_store_transaction,l2_subp0_read_sector_queries,active_cycles,l1_shared_bank_conflict,l2_subp1_read_sector_queries,tex0_cache_sector_queries,tex0_cache_sector_misses,inst_issued1_0,inst_issued2_0,tex1_cache_sector_queries,inst_issued1_1,inst_issued2_1,tex1_cache_sector_misses
120744e0953c9a20,_Z9gpu_inv_lPfS_ii,29.856,39,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,98,198,98,0,0,1,0,166,172,166,151,0,0,170,0,0,226,184,1892,46,336,1,16,0,168,20319,136,92,20347,0,92,0,0,760,568,0,0,0,0
120744e095409c20,_Z8gpu_mm_rPfS_S_ii,12.16,22,0.833,51,1,16,16,1,2048,2048,21,0,-1,,0,0,0,192,1024,8207,1572,8207,1120,112,7,0,7972,1576,7972,56,0,0,1572,0,0,80,1584,4816,240,15704,48,1536,0,13056,207287,1792,3424,7053,0,3264,0,0,1545,852,0,1279,736,0
120744e095446dc0,_Z8gpu_mm_aPfS_ii,469.312,479,0.833,51,51,16,16,1,2048,2048,21,0,-1,,0,0,0,7920,42240,193188,50920,193188,84480,5280,330,0,190725,50912,190725,2680,0,0,49468,0,0,4815,50888,280688,11106,936464,2672,85504,0,665856,12290911,84224,171972,333588,0,172892,0,0,93394,46660,0,93765,46380,0
120744e0954f1da0,_Z10gpu_dpotrfPfS_ii,9.664,19,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,47,12,344,88,1,0,12,96,12,272,0,0,47,8,0,0,72,2048,16,144,8,256,0,36,45280,72,32,5491,9,32,0,0,977,68,0,928,60,0
120744e09552b480,memcpyHtoD,0.96,4,,,,,,,,,,0,0,1024,0
120744e09552d3e0,_Z9gpu_inv_lPfS_ii,30.08,40,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,100,28,100,0,0,1,0,168,174,168,151,0,0,150,0,0,226,170,1892,46,176,1,16,0,168,20324,136,92,20320,0,92,0,0,0,0,0,760,568,0
120744e09556c460,_Z8gpu_mm_rPfS_S_ii,11.872,22,0.833,50,1,16,16,1,2048,2048,21,0,-1,,0,0,0,144,768,8237,1520,8237,800,80,5,0,7780,1520,7780,40,0,0,1596,0,0,80,1576,4816,240,15200,56,1792,0,12800,183040,1536,3428,6670,0,3340,0,0,1522,852,0,1478,852,0
120744e0955a69e0,_Z8gpu_mm_aPfS_ii,481.952,492,0.833,50,50,16,16,1,2048,2048,21,0,-1,,0,0,0,7656,40832,164280,42752,164280,81664,5104,319,0,165505,42401,165505,2552,0,0,42720,0,0,6228,42708,271360,8726,1044608,2520,80640,0,640000,12819551,80640,137848,343396,0,136840,0,0,93955,45120,0,92624,44280,0
120744e0956541c0,_Z10gpu_dpotrfPfS_ii,9.6,19,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,111,12,344,88,1,0,12,96,12,272,0,0,79,8,0,0,68,2048,16,144,8,256,0,36,45184,72,32,5482,9,32,0,0,928,60,0,977,68,0
120744e09568d580,memcpyHtoD,0.928,3,,,,,,,,,,0,0,1024,0
120744e09568f460,_Z9gpu_inv_lPfS_ii,29.952,40,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,100,167,100,0,0,1,0,162,187,162,151,0,0,187,0,0,226,195,1892,46,0,1,16,0,168,20420,136,92,20363,0,92,0,0,760,568,0,0,0,0
120744e0956cf660,_Z8gpu_mm_rPfS_S_ii,11.68,22,0.833,49,1,16,16,1,2048,2048,21,0,-1,,0,0,0,168,896,8000,1464,8000,1120,112,7,0,7976,1472,7976,56,0,0,1484,0,0,40,1472,4128,200,20352,56,1792,0,12544,228684,2048,3180,6646,0,3112,0,0,1522,852,0,1611,852,0
120744e095709da0,_Z8gpu_mm_aPfS_ii,432.8,443,0.833,49,49,16,16,1,2048,2048,21,0,-1,,0,0,0,7272,38784,178653,45872,178653,78336,4896,306,0,178796,46036,178796,2440,0,0,45996,0,0,4604,46012,258640,10247,946528,2488,79616,0,614656,11393029,77056,160668,307772,0,160036,0,0,85433,42460,0,85590,42880,0
120744e0957abea0,_Z10gpu_dpotrfPfS_ii,9.6,19,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,87,12,344,88,1,0,12,68,12,272,0,0,107,8,0,0,100,2048,16,144,8,256,0,36,45238,72,32,5499,9,32,0,0,977,68,0,928,60,0
120744e0957e56e0,memcpyHtoD,0.928,3,,,,,,,,,,0,0,1024,0
120744e0957e7680,_Z9gpu_inv_lPfS_ii,29.888,39,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,102,167,102,0,0,1,0,166,167,166,151,0,0,171,0,0,226,167,1892,46,64,1,16,0,168,20343,136,92,20318,0,92,0,0,0,0,0,760,568,0
120744e0958268c0,_Z8gpu_mm_rPfS_S_ii,10.944,20,0.833,48,1,16,16,1,2048,2048,21,0,-1,,0,0,0,144,768,7721,1456,7721,1120,112,7,0,7701,1444,7701,56,0,0,1444,0,0,46,1436,4816,232,14824,56,1792,0,12288,188642,1536,3128,5897,0,3192,0,0,1468,852,0,1491,852,0
120744e095860b20,_Z8gpu_mm_aPfS_ii,444.704,603,0.833,48,48,16,16,1,2048,2048,21,0,-1,,0,0,0,6984,37248,151148,39392,151148,74496,4656,291,0,150608,39364,150608,2344,0,0,39400,0,0,5562,39392,250160,8277,879416,2344,75008,0,589824,11785254,74496,128456,316442,0,128428,0,0,86355,40920,0,85784,41060,0
120744e09592d520,_Z10gpu_dpotrfPfS_ii,9.632,20,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,107,12,344,88,1,0,12,96,12,272,0,0,95,8,0,0,92,2048,16,144,8,256,0,36,45230,72,32,5483,9,32,0,0,928,60,0,977,68,0
120744e095966fa0,memcpyHtoD,0.96,3,,,,,,,,,,0,0,1024,0
120744e095968ee0,_Z9gpu_inv_lPfS_ii,29.888,40,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,104,166,104,0,0,1,0,164,172,164,151,0,0,186,0,0,226,196,1892,46,256,1,16,0,168,20316,136,92,20361,0,92,0,0,760,568,0,0,0,0
